LocTypeName,Location,Time,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,PopGrowthRate,TFR,NetMigrations,CNMR
World,World,1990,5316175.862,2668605.102,2647570.76,40.7672,100.7945,22.9596,1.746,3.3078,0,0
World,World,1991,5406245.868,2714450.362,2691795.505,41.4579,100.8416,23.1442,1.615,3.1272,0,0
World,World,1992,5492686.092,2758361.747,2734324.345,42.1207,100.8791,23.353,1.558,3.0411,0,0
World,World,1993,5577433.523,2801260.615,2776172.908,42.7706,100.9037,23.5748,1.505,2.9758,0,0
World,World,1994,5660727.993,2843434.27,2817293.723,43.4094,100.9279,23.8102,1.46,2.9262,0,0
World,World,1995,5743219.454,2885184.242,2858035.212,44.042,100.9499,24.0506,1.433,2.8779,0,0
World,World,1996,5825145.298,2926632.435,2898512.863,44.6702,100.9701,24.2925,1.4,2.833,0,0
World,World,1997,5906481.261,2967905.34,2938575.921,45.2939,100.9981,24.5343,1.374,2.7938,0,0
World,World,1998,5987312.48,3008968.271,2978344.209,45.9138,101.0282,24.7775,1.345,2.7578,0,0
World,World,1999,6067758.458,3049822.57,3017935.888,46.5307,101.0566,25.018,1.325,2.7302,0,0
World,World,2000,6148898.975,3091099.54,3057799.434,47.1529,101.089,25.2497,1.332,2.7345,0,0
World,World,2001,6230746.982,3132616.862,3098130.121,47.7806,101.1131,25.4697,1.313,2.7002,0,0
World,World,2002,6312407.36,3173877.429,3138529.931,48.4068,101.1262,25.6795,1.292,2.6722,0,0
World,World,2003,6393898.365,3215038.714,3178859.65,49.0317,101.1381,25.8816,1.274,2.6471,0,0
World,World,2004,6475751.478,3256371.438,3219380.04,49.6594,101.149,26.0797,1.27,2.6363,0,0
World,World,2005,6558176.119,3298026.087,3260150.032,50.2915,101.1618,26.273,1.259,2.6192,0,0
World,World,2006,6641416.218,3340199.243,3301216.976,50.9298,101.1808,26.4705,1.263,2.6115,0,0
World,World,2007,6725948.544,3383117.609,3342830.936,51.578,101.2052,26.6754,1.266,2.6123,0,0
World,World,2008,6811597.272,3426553.494,3385043.778,52.2348,101.2263,26.886,1.264,2.6131,0,0
World,World,2009,6898305.908,3470393.479,3427912.43,52.8998,101.2393,27.1019,1.265,2.605,0,0
World,World,2010,6985603.105,3514408.098,3471195.007,53.5692,101.2449,27.3269,1.25,2.5869,0,0
World,World,2011,7073125.425,3558591.636,3514533.789,54.2404,101.2536,27.5537,1.24,2.5729,0,0
World,World,2012,7161697.921,3603431.424,3558266.498,54.9196,101.2693,27.775,1.248,2.5904,0,0
World,World,2013,7250593.37,3648401.068,3602192.303,55.6013,101.2828,27.9926,1.219,2.5604,0,0
World,World,2014,7339013.419,3693112.764,3645900.655,56.2793,101.2949,28.2197,1.205,2.5529,0,0
World,World,2015,7426597.537,3737402.732,3689194.805,56.951,101.3067,28.4558,1.168,2.524,0,0
World,World,2016,7513474.238,3781091.377,3732382.861,57.6172,101.305,28.6991,1.158,2.5256,0,0
World,World,2017,7599822.404,3824259.774,3775562.63,58.2794,101.2898,28.9473,1.127,2.5042,0,0
World,World,2018,7683789.828,3866135.266,3817654.562,58.9233,101.2699,29.2039,1.071,2.4433,0,0
World,World,2019,7764951.032,3906407.855,3858543.178,59.5456,101.2405,29.4692,1.031,2.4062,0,0
World,World,2020,7840952.88,3943612.192,3897340.688,60.1285,101.1873,29.7362,0.918,2.3485,0,0
